hostname,disposition,sy_snum
EPIC 212066805,FALSE POSITIVE,1
EPIC 212068493,CANDIDATE,1
EPIC 212069706,FALSE POSITIVE,1
EPIC 212071939,FALSE POSITIVE,1
EPIC 212075294,FALSE POSITIVE,1
EPIC 212075842,FALSE POSITIVE,1
EPIC 212082682,FALSE POSITIVE,1
EPIC 212083250,FALSE POSITIVE,1
EPIC 212083455,FALSE POSITIVE,1
EPIC 212085654,FALSE POSITIVE,1
EPIC 212085740,FALSE POSITIVE,1
EPIC 212086717,FALSE POSITIVE,1
HIP 41431,CANDIDATE,1
EPIC 212099230,CANDIDATE,1
EPIC 212109233,FALSE POSITIVE,1
EPIC 212110007,FALSE POSITIVE,1
EPIC 212114260,CANDIDATE,1
EPIC 212115388,FALSE POSITIVE,1
EPIC 212116340,FALSE POSITIVE,1
EPIC 212117087,FALSE POSITIVE,1
